,Hi,Wa,Rm,Wm,Te
227,400.0,3.0,1.0,5.0,8.0
228,1200.0,3.0,1.0,5.0,8.0
229,2280.0,3.0,1.0,5.0,8.0
230,18000.0,4.0,10.0,6.0,25.0
231,400.0,4.0,1.0,4.0,25.0
232,3500.0,4.0,1.0,4.0,18.0
233,0.0,4.0,1.0,6.0,30.0
234,3660.0,4.0,10.0,6.0,20.0
235,1160.0,4.0,10.0,6.0,35.0
236,0.0,4.0,1.0,6.0,20.0
237,0.0,4.0,1.0,6.0,20.0
238,1160.0,3.0,1.0,4.0,20.0
239,13000.0,4.0,1.0,4.0,14.0
240,3480.0,4.0,1.0,4.0,60.0
241,3400.0,4.0,1.0,4.0,50.0
242,1140.0,4.0,1.0,4.0,36.0
243,1150.0,4.0,1.0,4.0,60.0
244,1150.0,4.0,1.0,4.0,30.0
245,2320.0,4.0,10.0,5.0,45.0
246,0.0,4.0,10.0,4.0,20.0
247,8000.0,4.0,1.0,4.0,60.0
248,1160.0,4.0,1.0,6.0,25.0
249,2320.0,4.0,1.0,6.0,25.0
250,25000.0,4.0,1.0,6.0,15.0
251,4000.0,4.0,1.0,5.0,15.0
252,6000.0,4.0,1.0,5.0,4.0
253,3000.0,4.0,1.0,5.0,5.0
254,1050.0,4.0,8.0,5.0,15.0
255,12000.0,4.0,1.0,5.0,15.0
256,0.0,3.0,1.0,6.0,15.0
257,1050.0,3.0,1.0,1.0,15.0
258,5600.0,3.0,1.0,1.0,3.0
259,4000.0,3.0,1.0,5.0,15.0
260,5000.0,4.0,1.0,5.0,14.0
261,6030.0,4.0,8.0,6.0,15.0
262,1050.0,4.0,1.0,5.0,15.0
263,1050.0,4.0,1.0,5.0,5.0
264,6000.0,4.0,1.0,6.0,9.0
265,1030.0,4.0,1.0,6.0,13.0
266,1030.0,3.0,1.0,6.0,14.0
267,5000.0,4.0,1.0,5.0,4.0
268,3000.0,4.0,1.0,5.0,11.0
269,4000.0,3.0,1.0,11.0,18.0
270,3000.0,3.0,1.0,5.0,19.0
271,2500.0,4.0,1.0,5.0,1.0
272,2556.0,3.0,1.0,6.0,14.0
273,1000.0,3.0,1.0,5.0,15.0
274,2200.0,3.0,1.0,6.0,14.0
275,1120.0,4.0,1.0,5.0,18.0
276,1100.0,3.0,1.0,5.0,14.0
277,3200.0,3.0,1.0,5.0,14.0
278,8000.0,4.0,1.0,5.0,1.0
279,1140.0,3.0,1.0,5.0,11.0
280,1100.0,3.0,1.0,5.0,12.0
281,3600.0,3.0,1.0,6.0,14.0
282,1700.0,4.0,1.0,5.0,1.0
283,1500.0,3.0,1.0,5.0,15.0
284,4000.0,2.0,1.0,11.0,18.0
285,2000.0,3.0,1.0,6.0,12.0
286,1100.0,3.0,1.0,6.0,18.0
287,1100.0,3.0,10.0,6.0,12.0
288,13500.0,4.0,1.0,4.0,3.0
289,1180.0,3.0,1.0,5.0,18.0
290,4000.0,4.0,10.0,5.0,18.0
291,1200.0,3.0,1.0,6.0,12.0
292,2400.0,3.0,1.0,6.0,12.0
293,0.0,4.0,10.0,5.0,18.0
294,0.0,3.0,1.0,6.0,12.0
295,3000.0,3.0,1.0,6.0,12.0
296,6500.0,3.0,1.0,6.0,12.0
297,2000.0,3.0,1.0,5.0,18.0
298,1140.0,3.0,1.0,5.0,18.0
299,0.0,4.0,1.0,5.0,16.0
300,1100.0,3.0,10.0,5.0,18.0
301,2200.0,3.0,10.0,6.0,12.0
302,2000.0,4.0,1.0,5.0,12.0
303,2200.0,3.0,1.0,6.0,14.0
304,1100.0,3.0,1.0,6.0,15.0
305,2280.0,4.0,1.0,5.0,18.0
306,14000.0,3.0,1.0,5.0,18.0
307,0.0,3.0,1.0,5.0,18.0
308,1140.0,3.0,1.0,6.0,18.0
309,1140.0,3.0,1.0,5.0,18.0
310,3000.0,3.0,1.0,5.0,3.0
311,0.0,4.0,1.0,5.0,4.0
312,0.0,3.0,1.0,11.0,23.0
313,4000.0,4.0,1.0,5.0,18.0
314,3500.0,4.0,1.0,5.0,18.0
315,1500.0,4.0,1.0,5.0,10.0
316,250.0,3.0,1.0,11.0,15.0
317,1140.0,4.0,1.0,6.0,18.0
318,20000.0,3.0,8.0,4.0,18.0
319,0.0,3.0,1.0,5.0,3.0
320,0.0,3.0,1.0,6.0,2.0
321,0.0,3.0,1.0,1.0,18.0
322,3000.0,3.0,1.0,11.0,18.0
323,0.0,3.0,1.0,11.0,18.0
324,0.0,3.0,1.0,6.0,18.0
325,2200.0,3.0,1.0,5.0,10.0
326,800.0,3.0,1.0,11.0,18.0
327,1140.0,3.0,1.0,11.0,15.0
328,1600.0,3.0,1.0,5.0,18.0
329,2000.0,3.0,1.0,11.0,6.0
330,6500.0,4.0,1.0,6.0,23.0
331,1500.0,3.0,1.0,6.0,18.0
332,1140.0,3.0,1.0,11.0,8.0
333,2280.0,3.0,1.0,5.0,8.0
334,500.0,3.0,1.0,5.0,8.0
335,4140.0,3.0,1.0,6.0,8.0
336,0.0,3.0,1.0,6.0,8.0
337,8000.0,3.0,1.0,6.0,8.0
338,1140.0,3.0,1.0,6.0,7.0
339,2280.0,3.0,1.0,5.0,8.0
340,3000.0,3.0,1.0,4.0,8.0
341,1140.0,3.0,1.0,5.0,8.0
342,0.0,3.0,1.0,6.0,7.0
343,1140.0,3.0,1.0,6.0,8.0
344,1140.0,3.0,1.0,6.0,3.0
345,1200.0,3.0,1.0,6.0,8.0
